Field,ID,Type (Type),default,hi-in
Description,2,Text,,"KoBar से मिलें, आपका परम मल्टी-थ्रेडेड डेस्कटॉप सहायक। उन पेशेवरों, रचनाकारों और पावर उपयोगकर्ताओं के लिए डिज़ाइन किया गया है जो निर्बाध वर्कफ़्लो को महत्व देते हैं, KoBar एक अत्यधिक अनुकूलन योग्य, मॉड्यूलर उपयोगिता साइडबार है जो आपकी स्क्रीन पर तब तक चुपचाप रहता है जब तक आपको इसकी आवश्यकता नहीं होती।

यह उत्पादकता उपकरणों के एक अविश्वसनीय शस्त्रागार को एक एकल, चिकने इंटरफ़ेस में पैक करता है। OS-स्तरीय AI चैट साथी, आपके सबसे अधिक उपयोग किए जाने वाले टेक्स्ट और कोड के लिए Snippet Vault, और एक त्वरित रंग चयनकर्ता (Color Picker) के साथ अपने वर्कफ़्लो को सुपरचार्ज करें। अस्थायी फ़ाइलों को KoBox ड्रॉप ज़ोन में डालकर अपने कार्यक्षेत्र को सहजता से प्रबंधित करें, या किसी भी महत्वपूर्ण विंडो को अन्य सभी के ऊपर लॉक रखने के लिए 'पिन टू टॉप' सुविधा का उपयोग करें।

एक शक्तिशाली अनुक्रमिक क्लिपबोर्ड (sequential clipboard), एक क्विक ऐप लॉन्चर, एक फोकस टाइमर, एक फ्लोटिंग कैलकुलेटर और एक स्मार्ट स्क्रीनशॉट टूल जैसी आवश्यक चीज़ों के साथ, KoBar सुनिश्चित करता है कि आपकी ज़रूरत की हर चीज़ बस एक क्लिक दूर है। चाहे आप कोडिंग कर रहे हों, डिज़ाइन कर रहे हों, या अपने दैनिक कार्यों का प्रबंधन कर रहे हों, KoBar आपकी स्क्रीन को अव्यवस्थित किए बिना आपके फोकस को सशक्त बनाता है। इसे गहरे अनुकूलन विकल्पों के साथ वास्तव में अपना बनाएं—पारदर्शी ग्लास थीम से लेकर पूरी तरह से मॉड्यूलर लेआउट तक।"
ReleaseNotes,3,Text,,"विशाल उत्पादकता अपडेट! हम आपके वर्कफ़्लो को सुपरचार्ज करने के लिए शक्तिशाली नए टूल और सुधार पेश करने के लिए रोमांचित हैं:

🚀 नई विशेषताएं:
• 🤖 AI Hub: आपका नया OS-स्तरीय AI साथी! चैट करने, दस्तावेज़ों का विश्लेषण करने और सीधे अपने साइडबार से छवियों को संसाधित करने के लिए क्लाउड मॉडल (Claude) या स्थानीय LLM के साथ जुड़ें।
• 📝 Snippet Vault: अपने सबसे अधिक बार उपयोग किए जाने वाले टेक्स्ट, कोड ब्लॉक या ईमेल टेम्प्लेट को सहेजें, व्यवस्थित करें और तुरंत कॉपी करें।
• 🕳️ KoBox (ड्रॉप ज़ोन): आपकी फ़ाइलों के लिए एक अस्थायी 'ब्लैकहोल'। अपनी स्क्रीन को तुरंत साफ़ करने के लिए फ़ाइलों को खींचें और छोड़ें।
• 📌 पिन टू टॉप (Pin to Top): किसी भी महत्वपूर्ण एप्लिकेशन विंडो को एक क्लिक के साथ अन्य सभी के ऊपर लॉक रखें।
• 🎨 रंग चयनकर्ता (Color Picker): अपनी स्क्रीन से किसी भी रंग को तुरंत पकड़ें, सहेजें और कॉपी करें। डिज़ाइनरों और डेवलपर्स के लिए एक अनिवार्य टूल।

✨ सुधार और फिक्स:
• 🎨 नया लुक: हमने KoBar लोगो को अधिक चिकना और आधुनिक अनुभव के लिए अपडेट किया है।
• 🛠️ बग फिक्स: उस समस्या का समाधान किया गया जो सिस्टम बूट होने पर KoBar को स्वचालित रूप से शुरू होने से रोकती थी।"
Title,4,Text,,KoBar
ShortTitle,5,Text,,KoBar
SortTitle,6,Text,,
VoiceTitle,7,Text,,KoBar
ShortDescription,8,Text,,"KoBar के साथ अपनी उत्पादकता बढ़ाएं: एक अत्यधिक अनुकूलन योग्य डेस्कटॉप साइडबार जिसमें AI Hub, Snippet Vault, KoBox ड्रॉप ज़ोन, कलर पिकर और पिन टू टॉप जैसी विशेषताएं हैं, साथ ही अनुक्रमिक क्लिपबोर्ड और फोकस टाइमर जैसे आवश्यक टूल भी हैं।"
DevStudio,9,Text,,Ekrem Edalı
CopyrightTrademarkInformation,12,Text,,© 2026 Ekrem Edalı. सभी अधिकार सुरक्षित।
AdditionalLicenseTerms,13,Text,,
