Field,ID,Type (Type),default,zh-cn
Description,2,Text,,"探索 KoBar，您的终极多线程桌面助手。KoBar 专为重视无缝工作流程的专业人士、创作者和高级用户设计，是一个高度可定制的模块化实用侧边栏，它会静静地停留在您的屏幕上，直到您需要它。

它将令人惊叹的生产力工具库整合到一个时尚的界面中。利用操作系统级的 AI 聊天伴侣、用于存储常用文本和代码的 Snippet Vault 以及即时颜色选择器，大幅提升您的工作效率。通过将临时文件放入 KoBox 放置区轻松管理您的工作空间，或使用“置顶”功能将任何关键窗口锁定在其他窗口之上。

除了强大的顺序剪贴板、快速应用启动器、专注计时器、悬浮计算器和智能截图工具等必备功能外，KoBar 还确保您所需的一切都触手可及。无论您是在编码、设计还是管理日常任务，KoBar 都能在不占用屏幕空间的情况下助您专注。通过深度定制选项（从透明玻璃主题到完全模块化的布局），打造真正属于您的 KoBar。"
ReleaseNotes,3,Text,,"重磅生产力更新！我们很高兴推出强大的新工具和改进，以大幅提升您的工作流程：

🚀 新功能：
• 🤖 AI Hub：您全新的操作系统级 AI 伴侣！连接云端模型 (Claude) 或本地 LLM，直接从侧边栏进行聊天、分析文档和处理图像。
• 📝 Snippet Vault (代码片段库)：保存、组织并即时复制您最常用的文本、代码块或电子邮件模板。
• 🕳️ KoBox (放置区)：文件的临时“黑洞”。通过拖放即时清理您的屏幕。
• 📌 置顶 (Pin to Top)：只需点击一下，即可将任何关键应用程序窗口锁定在所有其他窗口之上。
• 🎨 颜色选择器 (Color Picker)：即时抓取、保存并复制屏幕上的任何颜色。设计师和开发者的必备工具。

✨ 改进与修复：
• 🎨 全新外观：我们更新了 KoBar 的 Logo，带来更时尚、更现代的感觉。
• 🛠️ Bug 修复：解决了导致 KoBar 在系统启动时无法自动启动的问题。"
Title,4,Text,,KoBar
ShortTitle,5,Text,,KoBar
SortTitle,6,Text,,
VoiceTitle,7,Text,,KoBar
ShortDescription,8,Text,,"利用 KoBar 提升您的生产力：一个高度可定制的桌面侧边栏，具有 AI Hub、Snippet Vault、KoBox 放置区、颜色选择器和置顶功能，此外还有顺序剪贴板和专注计时器等必备工具。"
DevStudio,9,Text,,Ekrem Edalı
CopyrightTrademarkInformation,12,Text,,© 2026 Ekrem Edalı. 保留所有权利。
AdditionalLicenseTerms,13,Text,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3017249753782962971
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3014286821659038873
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3067074447726433716
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3024568328933218674
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3012718280261439762
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3055477104237918362
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3062048357813385935
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,
DesktopScreenshotCaption1,150,Text,,KoBar 便签
DesktopScreenshotCaption2,151,Text,,KoBar AI 聊天
DesktopScreenshotCaption3,152,Text,,KoBar 颜色选择器
DesktopScreenshotCaption4,153,Text,,KoBar KoBox
DesktopScreenshotCaption5,154,Text,,KoBar 待办事项列表
DesktopScreenshotCaption6,155,Text,,KoBar
DesktopScreenshotCaption7,156,Text,,代码片段库
DesktopScreenshotCaption8,157,Text,,
DesktopScreenshotCaption9,158,Text,,
DesktopScreenshotCaption10,159,Text,,
DesktopScreenshotCaption11,160,Text,,
