Field,ID,Type (Type),default,ja-jp
Description,2,Text,,"究極のマルチスレッド デスクトップ アシスタント、KoBar をご紹介します。シームレスなワークフローを重視するプロフェッショナル、クリエイター、パワー ユーザー向けに設計された KoBar は、必要になるまで画面上に静かに佇む、高度にカスタマイズ可能なモジュール式のユーティリティ サイドバーです。

洗練された 1 つのインターフェースに、驚異的な生産性ツールが詰め込まれています。OS レベルの AI チャット コンパニオン、頻繁に使用するテキストやコードを保存する Snippet Vault、インスタント カラー ピッカーでワークフローを強化しましょう。一時ファイルを KoBox ドロップ ゾーンに投げ込んで作業スペースを簡単に整理したり、「トップにピン留め」機能を使用して重要なウィンドウを他のウィンドウの上に固定したりできます。

強力なシーケンシャル クリップボード、クイック アプリ ランチャー、フォーカス タイマー、フローティング計算機、スマート スクリーンショット ツールなどの基本機能に加え、KoBar は必要なものすべてをワンクリックで利用できるようにします。コーディング、デザイン、日常業務の管理など、いかなる場面でも KoBar は画面を乱雑にすることなく集中力を高めます。透明なガラス テーマから完全にモジュール化されたレイアウトまで、豊富なカスタマイズ オプションであなただけの KoBar を作り上げてください。"
ReleaseNotes,3,Text,,"生産性向上のための大規模アップデート！ワークフローを強力にサポートする新ツールと改善点をご紹介します。

🚀 新機能:
• 🤖 AI Hub: OS レベルの新しい AI コンパニオン！クラウド モデル (Claude) やローカル LLM と接続して、サイドバーから直接チャット、ドキュメント分析、画像処理が可能です。
• 📝 Snippet Vault: よく使うテキスト、コード ブロック、メール テンプレートを保存、整理し、瞬時にコピーできます。
• 🕳️ KoBox (ドロップ ゾーン): ファイルの一時的な「ブラックホール」。ドラッグ & ドロップで画面を瞬時に整理します。
• 📌 トップにピン留め (Pin to Top): ワンクリックで重要なアプリケーション ウィンドウを他のすべてのウィンドウの上に固定できます。
• 🎨 カラー ピッカー (Color Picker): 画面上のあらゆる色を瞬時に取得、保存、コピー。デザイナーやデベロッパーの必須ツールです。

✨ 改善と修正:
• 🎨 新しいデザイン: より洗練されたモダンな雰囲気にするため、KoBar のロゴを更新しました。
• 🛠️ バグ修正: システム起動時に KoBar が自動的に開始されない問題を解決しました。"
Title,4,Text,,KoBar
ShortTitle,5,Text,,KoBar
SortTitle,6,Text,,
VoiceTitle,7,Text,,KoBar
ShortDescription,8,Text,,"KoBar で生産性を向上：AI Hub、Snippet Vault、KoBox ドロップ ゾーン、カラー ピッカー、トップ固定機能を備えた高度にカスタマイズ可能なデスクトップ サイドバーです。シーケンシャル クリップボードやフォーカス タイマーなどの必須ツールも搭載されています。"
DevStudio,9,Text,,Ekrem Edalı
CopyrightTrademarkInformation,12,Text,,© 2026 Ekrem Edalı. All rights reserved.
AdditionalLicenseTerms,13,Text,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3017249753782962971
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3014286821659038873
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3067074447726433716
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3024568328933218674
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3012718280261439762
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3055477104237918362
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9P2KPFF3G9L9/submissions/1152921505700711034/listings/1152922700024254503/listingassets/3062048357813385935
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,
